time, low pass speed, kalman speed
1, 0.41979, 0.0
22, 0.419580105, 0.0
42, -0.5801296850525, -0.4
63, 0.4196603797900263, -0.24
84, 0.4194505496001312, -0.144
104, 0.4192408243253312, -0.08639999999999999
126, 0.4190312039131686, -0.05183999999999998
148, 0.418821688311212, -0.03110399999999999
170, 0.4186122774670564, -0.01866239999999999
192, -0.5810970286716771, -0.41119744
214, 0.4186935198426588, -0.246718464
236, 0.4184841730827375, -0.1480310784
258, 0.4182749309961961, -0.08881864703999998
281, 0.4180657935306981, -0.053291188224
302, 9.413356760633933, 3.5680252870656
323, 17.40465008225362, 8.940815172239359
345, 23.39294775721249, 14.56448910334362
374, 0.3927512833338828, 8.73869346200617
395, 8.388554907692216, 8.443216077203703
419, 12.38236063023837, 9.865929646322222
441, -44.59533055007675, -12.08044221220667
462, -32.57903288480172, -20.448265327324
484, -30.56374336835932, -24.6689591963944
504, -26.55046149667513, -25.60137551783664
525, 5.446813734073207, -13.36082531070198
549, 20.43659032720617, -0.01649518642118863
569, 3.434872032042568, 1.190102888147287
592, 12.42865459602655, 5.514061732888372
614, 9.423940268728533, 6.908437039733023
634, 9.419228298594168, 7.745062223839814
656, 12.41301868444487, 9.447037334303889
678, 8.40881217510265, 8.868222400582333
700, 12.4026077690151, 10.1209334403494
720, -5.59459353486941, 3.67256006420964
743, -32.57829623810198, -10.99646396147422
765, -39.55850708998293, -22.59787837688453
789, -20.54822783643793, -21.95872702613072
810, 3.450046277480287, -11.97523621567843
831, 17.44132125434155, -0.3851417294070565
852, 8.437100593714376, 2.968914962355766
872, 8.432882043417518, 4.98134897741346
894, 6.42966560239581, 5.388809386448076
914, 6.426450769594612, 5.633285631868846
935, 9.421737544209815, 6.979971379121308
958, 3.42002667543771, 5.387982827472785
980, 6.416816662099991, 5.632789696483671
1001, -8.57889174623106, -0.2203261821097975
1021, -8.574602300357943, -3.732195709265879
1045, 0.4251850007922356, -2.239317425559527
1066, 3.42347240829184, -0.1435904553357159
1100, 6.420260672087694, 2.31384572679857
1120, 6.417050541751649, 3.788307436079142
1141, 8.412842016480774, 5.472984461647485
1166, 2.411635595472534, 4.083790676988491
1189, -0.5880702223252026, 2.050274406193094
1210, -2.58677618721404, 0.03016464371585625
1231, -2.585482799120433, -1.181901213770486
1253, 0.4143099422791273, -0.7091407282622917
1278, -0.5853972126920121, -0.825484436957375
1298, -2.584104514085666, -1.695290662174425
1318, -5.581312461828623, -3.417174397304655
1342, -2.580021805597709, -3.250304638382793
1363, 0.4197682053050899, -1.950182783029676
1385, 0.4195583212024373, -1.170109669817806
1405, 5.416848542041836, 1.297934198109317
1426, 2.415640117770815, 1.57876051886559
1448, -2.58306770228807, -0.252743688680646
1469, -5.580276168436926, -2.551646213208388
1492, -3.578486030352708, -3.130987727925032
1513, -0.5781967873375313, -2.27859263675502
1534, 0.4215923110561375, -1.367155582053012
1556, -3.576618485099391, -2.420293349231807
1578, -2.575330175856841, -2.652176009539084
1599, -10.57004251076891, -5.991305605723451
1620, -3.568257489513528, -5.194783363434071
1643, 2.430526639231229, -2.316870018060442
1666, 9.425811375911614, 2.209877989163735
1685, 9.421098470223658, 4.925926793498242
1708, 0.4208879209885458, 2.955556076098945
1728, -9.574322522971949, -2.226666354340634
1750, -8.570035361710463, -4.935999812604381
1770, 0.4297496559703927, -2.961599887562628
1792, 6.426534781142408, 0.6230400674624228
1813, 0.4263215137518364, 0.3738240404774537
1833, -8.569391647005039, -3.375705575713528
1854, -12.56310695118154, -7.225423345428117
1875, -6.559825397705946, -7.13525400725687
1896, 5.437454514992907, -2.281152404354122
1918, 12.43123578773541, 3.431308557387527
1939, 8.427020169841542, 5.258785134432516
1961, 0.426806659756622, 3.15527108065951
1984, -10.56790674357326, -2.506837351604295
2004, -12.56162279020147, -6.704102410962577
2028, -5.558841978806369, -6.422461446577546
2049, 0.4409374421830343, -3.853476867946527
2072, 0.4407169734619428, -2.312086120767916
2093, 6.437496614975212, 1.01274832753925
2114, -0.5622221333322757, 0.2076489965235501
2134, -3.56044102226561, -1.47541060208587
2156, -2.559160801754476, -2.085246361251522
2179, 0.4406187786464006, -1.251147816750913
2200, 6.437398469257078, 1.649311309949452
2221, 0.4371797700224489, 0.9895867859696713
2243, -6.559538819862563, -2.206247928418198
2264, -9.554759050452631, -5.323748757050919
2286, -3.552981670927405, -4.794249254230551
2308, 0.446794819908059, -2.87654955253833
2330, 10.44157142249811, 2.274070268477002
2351, 9.436850636786856, 4.964442161086202
2371, 2.435632211468463, 3.778665296651721
2393, -3.562585604637272, 0.6671991779910327
2416, -12.55630431183495, -4.799680493205381
2440, -6.553026159679035, -5.679808295923229
2462, 0.4467503534008041, -3.407884977553937
2483, 5.444026978224104, -0.04473098653236196
2504, 3.442304964734991, 1.173161408080583
2524, 0.4420838122526241, 0.7038968448483498
2548, -2.556637229653502, -0.7776618930909902
2570, 6.440141088961325, 1.933402864145406
2591, 3.438421018416844, 2.360041718487244
2610, -0.5612981920923643, 1.016025031092346
2630, -5.558517542996318, -1.790384981344592
2652, -9.553738284224821, -5.074230988806756
2673, 5.443538584917293, -1.044538593284053
2694, 15.43581681562483, 5.373276844029568
2716, 9.431098907217022, 6.823966106417741
2734, 0.4308833577634131, 4.094379663850644
2756, -9.564332083915469, -1.543372201689614
2779, -13.55754991787351, -6.526023321013769
2799, -8.553271142914575, -7.515613992608261
2821, 6.443505492656883, -2.109368395564956
2841, 8.439283739910556, 1.934378962661027
2863, 6.4360640980406, 3.560627377596616
