time, process cov
12, 1.363636363636364
31, 0.9374999999999998
52, 0.7142857142857143
71, 0.576923076923077
98, 0.4838709677419356
123, 0.4166666666666668
141, 0.3658536585365854
162, 0.3260869565217392
184, 0.2941176470588236
206, 0.2678571428571428
238, 0.2459016393442623
259, 0.2272727272727272
280, 0.2112676056338028
304, 0.1973684210526316
327, 0.1851851851851852
349, 0.1744186046511628
383, 0.1648351648351648
411, 0.15625
439, 0.1485148514851485
462, 0.1415094339622641
486, 0.1351351351351351
506, 0.1293103448275862
529, 0.1239669421487603
550, 0.1190476190476191
571, 0.1145038167938932
594, 0.1102941176470589
613, 0.1063829787234043
642, 0.1027397260273973
668, 0.09933774834437086
689, 0.09615384615384615
707, 0.09316770186335404
736, 0.09036144578313253
754, 0.08771929824561402
777, 0.08522727272727272
799, 0.08287292817679559
817, 0.08064516129032258
841, 0.07853403141361257
862, 0.07653061224489797
886, 0.07462686567164179
904, 0.07281553398058254
927, 0.07109004739336494
951, 0.06944444444444446
970, 0.06787330316742082
991, 0.0663716814159292
1013, 0.06493506493506494
1042, 0.0635593220338983
1066, 0.06224066390041493
1092, 0.06097560975609756
1117, 0.0597609561752988
1132, 0.05859375
1157, 0.05747126436781609
1179, 0.05639097744360901
1200, 0.05535055350553506
1222, 0.05434782608695652
1242, 0.05338078291814946
1261, 0.05244755244755243
1284, 0.05154639175257731
1303, 0.05067567567567567
1327, 0.04983388704318935
1352, 0.04901960784313725
1372, 0.04823151125401929
1392, 0.04746835443037974
1413, 0.04672897196261682
1446, 0.04601226993865031
1468, 0.04531722054380665
1490, 0.04464285714285714
1510, 0.04398826979472141
1531, 0.04335260115606936
1552, 0.04273504273504274
1573, 0.04213483146067415
1596, 0.04155124653739612
1619, 0.04098360655737705
1639, 0.04043126684636118
1661, 0.03989361702127659
1681, 0.03937007874015747
1701, 0.038860103626943
1725, 0.03836317135549871
1744, 0.03787878787878787
1769, 0.03740648379052369
1790, 0.03694581280788177
1814, 0.0364963503649635
1832, 0.0360576923076923
1861, 0.03562945368171021
1889, 0.0352112676056338
1909, 0.03480278422273781
1932, 0.03440366972477063
1956, 0.03401360544217686
1979, 0.03363228699551569
1999, 0.03325942350332594
2021, 0.03289473684210526
2043, 0.03253796095444685
2066, 0.03218884120171673
2088, 0.03184713375796178
2107, 0.0315126050420168
2130, 0.03118503118503118
2150, 0.03086419753086419
2171, 0.0305498981670061
2193, 0.03024193548387096
2217, 0.02994011976047903
2246, 0.02964426877470355
2268, 0.02935420743639921
2289, 0.02906976744186046
2308, 0.02879078694817658
2331, 0.02851711026615969
2351, 0.02824858757062146
2373, 0.02798507462686566
2395, 0.0277264325323475
2418, 0.02747252747252747
2446, 0.02722323049001814
2478, 0.02697841726618705
2506, 0.0267379679144385
2530, 0.0265017667844523
2551, 0.02626970227670753
2572, 0.02604166666666667
2591, 0.02581755593803787
2611, 0.02559726962457338
2645, 0.02538071065989848
2668, 0.02516778523489933
2689, 0.02495840266222962
2709, 0.02475247524752475
2732, 0.02454991816693944
2751, 0.02435064935064935
2775, 0.02415458937198068
2797, 0.02396166134185304
2818, 0.02377179080824088
2839, 0.02358490566037736
2860, 0.02340093603744149
2881, 0.02321981424148607
2903, 0.02304147465437788
2921, 0.02286585365853658
2943, 0.0226928895612708
2964, 0.02252252252252252
2986, 0.02235469448584203
3010, 0.02218934911242604
3032, 0.02202643171806168
3059, 0.02186588921282799
3081, 0.02170767004341534
3099, 0.02155172413793104
3119, 0.02139800285306705
3141, 0.02124645892351275
3162, 0.02109704641350211
3187, 0.02094972067039107
3204, 0.02080443828016644
3228, 0.02066115702479339
3247, 0.02051983584131327
3267, 0.0203804347826087
3292, 0.02024291497975709
3309, 0.02010723860589812
3331, 0.01997336884154461
3357, 0.01984126984126984
3379, 0.01971090670170828
3399, 0.0195822454308094
3420, 0.01945525291828794
3447, 0.0193298969072165
3469, 0.01920614596670934
3494, 0.01908396946564885
3515, 0.01896333754740834
3535, 0.01884422110552764
3559, 0.01872659176029962
3573, 0.01861042183622829
3601, 0.01849568434032059
3622, 0.01838235294117647
3646, 0.01827040194884287
3661, 0.01815980629539951
3684, 0.01805054151624549
3710, 0.01794258373205742
8, 1.363636363636364
35, 0.9374999999999998
53, 0.7142857142857143
82, 0.576923076923077
99, 0.4838709677419356
122, 0.4166666666666668
139, 0.3658536585365854
164, 0.3260869565217392
188, 0.2941176470588236
204, 0.2678571428571428
233, 0.2459016393442623
248, 0.2272727272727272
274, 0.2112676056338028
295, 0.1973684210526316
315, 0.1851851851851852
337, 0.1744186046511628
356, 0.1648351648351648
378, 0.15625
399, 0.1485148514851485
418, 0.1415094339622641
450, 0.1351351351351351
475, 0.1293103448275862
497, 0.1239669421487603
519, 0.1190476190476191
544, 0.1145038167938932
563, 0.1102941176470589
591, 0.1063829787234043
609, 0.1027397260273973
629, 0.09933774834437086
657, 0.09615384615384615
679, 0.09316770186335404
702, 0.09036144578313253
727, 0.08771929824561402
748, 0.08522727272727272
767, 0.08287292817679559
795, 0.08064516129032258
811, 0.07853403141361257
841, 0.07653061224489797
867, 0.07462686567164179
907, 0.07281553398058254
936, 0.07109004739336494
958, 0.06944444444444446
979, 0.06787330316742082
1005, 0.0663716814159292
1024, 0.06493506493506494
1044, 0.0635593220338983
