time, low pass angle, kalman angle
7, -0.203998, -0.2
27, -0.20819380105, -0.2
49, -0.2122876541244875, -0.2
68, -0.2164792604223878, -0.2
91, -0.2207186460420766, -0.2
117, -0.2249858220813806, -0.2
139, -0.2076481781457651, -0.1973577235772358
159, -0.1041528029227269, -0.1832894005958693
179, 0.1292328460386985, -0.1472477339292027
201, 0.2335484833044204, -0.1044699561514249
221, 0.09947963230704357, -0.07614208729896585
250, 0.1171354948486675, -0.04745751429621103
278, -1.196721830772604, -0.1126629133572439
301, -2.034241935003642, -0.228320808094086
320, -2.172763528595228, -0.3449874747607526
341, -1.907602117688709, -0.4387549166212178
374, -1.88881869457994, -0.5262858232146243
405, 0.04470501579776065, -0.5116902349793301
432, 1.660596218404167, -0.4174575617120034
457, 3.454046281455224, -0.2420603422482497
481, 5.401209392225977, 0.01253425234634484
501, 6.550458972836274, 0.3067542851870674
522, 7.153114486338625, 0.6126427149391336
544, 8.243654357626568, 0.9486606583483814
566, 8.211565014193056, 1.269587821198254
591, 7.970092540768745, 1.570002527080607
610, 7.96145705516849, 1.858672739846565
638, 6.796013617868345, 2.097288924524393
661, 5.968294303903807, 2.303646540418433
681, 4.609293783764329, 2.459048839269008
702, 3.280591085872516, 2.567843870324908
730, 2.225266883772276, 2.642307531420905
749, 1.104037780619556, 2.681737355982309
771, 0.05479662517025607, 2.690310014384512
792, -1.037251381478097, 2.6685696828928
812, -2.195083170304534, 2.616440650634735
838, -3.233096812272702, 2.538770493566672
857, -4.541823518036288, 2.430022561961598
879, -5.80419845556328, 2.292610281259844
901, -7.182151326621607, 2.124950958382074
921, -7.98427767079772, 1.942619204827572
944, -8.373220373961818, 1.755875189470752
964, -8.328053597678137, 1.574740735689239
988, -7.760183999159489, 1.410700809778558
1008, -7.829203628946309, 1.248531388290955
1028, -6.716527146714691, 1.113672631228808
1060, -5.800861892593201, 0.999474543550655
1089, -4.356992795266297, 0.9168837288127204
1111, -2.840833070668137, 0.8659810893704893
1130, -1.561245577218292, 0.8413617494470198
1151, 0.7486775318490098, 0.8615594505964452
1172, 2.550493372272136, 0.9153243776198861
1197, 4.187337228485124, 0.9982930832684811
1216, 5.708244855293184, 1.107390704269301
1236, 6.588697834301267, 1.230196160971555
1259, 6.830907497326249, 1.355057572287512
1277, 6.641457726571631, 1.474389310137291
1300, 6.24845298262459, 1.585042463290444
1320, 5.946189454984214, 1.688989078022945
1347, 5.168003904496308, 1.778663388425072
1367, 4.639803655282755, 1.858470462380056
1387, 4.022886513339416, 1.927148611373623
1410, 3.178285356196223, 1.981860449379854
1431, 2.538701252354034, 2.025949942027629
1462, 1.737016448971564, 2.057566256227024
1483, 1.254644768417982, 2.081574269047537
1507, 0.6138413721818478, 2.095894228169549
1528, -0.02592099688064986, 2.100811836658894
1549, -0.4155096318065051, 2.100166202336789
1570, -1.099944373928082, 2.089972422822052
1589, -1.669005010061579, 2.072119039363406
1612, -2.19302702232371, 2.047382642842202
1632, -2.941799762419898, 2.012969083393265
1654, -3.779729698748875, 1.967938480070619
1674, -4.548822571237127, 1.913477247184189
1694, -5.383896455227031, 1.849009371536521
1719, -6.375232794417881, 1.772762568467467
1741, -7.502630457749413, 1.683144799872426
1763, -8.945144870876501, 1.576635112552264
1787, -10.29642048793275, 1.454819935150007
1807, -11.53405342856299, 1.319450713738815
1828, -12.2747388564247, 1.176971784489052
1856, -12.49837890360952, 1.033240830314903
1882, -12.45141669199632, 0.8911612443654711
1902, -12.78846981496305, 0.7469920917856456
1927, -12.71882880917576, 0.6052237431617923
1951, -11.47499432100557, 0.4791946338436466
1971, -11.56416741266675, 0.3534753410236888
1992, -10.70488005794297, 0.2387676208059908
2018, -10.50089111196433, 0.1275797142418276
2037, -10.43249537731973, 0.01841774750285433
2062, -10.13880423533895, -0.08634525773225389
2081, -10.47656486320704, -0.1936617905486482
2101, -10.47584846579454, -0.2997212465891289
2123, -11.10541339309044, -0.411157085046244
2144, -11.66673408685385, -0.5271564352736643
2166, -12.6099516635273, -0.6515708955587966
2190, -13.91162239707022, -0.7877927321068512
2210, -15.07860458197139, -0.9344244686337973
2234, -16.5158354567187, -1.093943872155177
2260, -17.68358833967956, -1.263545242018191
2283, -18.76086005684887, -1.442022964790468
2302, -19.83686991978366, -1.629047352280589
2326, -20.12389342941582, -1.816873037983273
2345, -19.93852704663231, -2.001116301781621
2368, -18.74244741989769, -2.1724133877802
2389, -17.07693465937795, -2.326595022070298
2411, -15.30038155596963, -2.463095655393361
2438, -13.22829713542121, -2.579883314195539
2474, -10.8115704217249, -2.674296636748506
2499, -7.776493957966617, -2.741129564961113
2522, -4.697225634947804, -2.780159982304252
2546, -1.232677686284551, -2.788497329064322
2566, 2.113355743167301, -2.7676598475009
2589, 5.274621738002804, -2.719747898954836
2608, 8.275236923615568, -2.646579921510111
2632, 11.36525104836799, -2.547792069243351
2660, 14.9132626162341, -2.419768421563663
2683, 18.62136633574562, -2.261734777072843
2702, 22.09730835761158, -2.076353436417769
2724, 25.34171326382806, -1.865979050165723
2748, 28.063160843713, -1.635121477985837
2769, 30.5572354251724, -1.385852649285433
2791, 32.43979866383565, -1.12325251681446
2811, 33.66349263640252, -0.8531141036453986
2833, 34.88586714339673, -0.5754720910667823
2854, 36.10650582974104, -0.2905521990330058
2877, 37.14521878799523, 0.0002224651633814245
2897, 37.86665589821188, 0.2942259213845795
2918, 38.49715594609757, 0.5908173138973418
2938, 38.87925254241174, 0.8881800510089443
2961, 39.10316639255866, 1.18491617644736
2981, 39.28195010117912, 1.480998742043711
3004, 39.46073158039711, 1.776535735414712
3030, 39.72943624886428, 2.071903609699675
3055, 40.15631409077365, 2.368838875869635
3073, 40.65040284764091, 2.66722910316171
3094, 41.27900894010113, 2.967926309303165
3114, 41.97454280154813, 3.271473054119059
3138, 42.80442982750748, 3.578782956905046
3159, 43.88129893489694, 3.891639697913686
3179, 45.24951600986703, 4.211906645891022
3201, 46.77473195754909, 4.540771680760433
3222, 48.52332403563945, 4.879458709984653
3241, 50.20177248555542, 5.227147948470745
3261, 52.01332877208817, 5.584831981454253
3287, 53.68954915867392, 5.951681666256353
3306, 55.52074481315769, 6.328288877505464
3329, 57.260514773475, 6.71402780218247
3353, 58.95585641386707, 7.108945152418612
3372, 60.78423041703648, 7.513339107740557
3393, 62.38665157045283, 7.925613241885422
3413, 64.00953684353901, 8.345680823290296
3436, 65.45131367064087, 8.772275223937152
3463, 66.87268707652095, 9.206290056735595
3487, 68.1589328341542, 9.646038887072951
3509, 69.28762945425338, 10.09045738524145
3529, 70.37011955292593, 10.53882433943919
3551, 71.58580098778216, 10.99192453855738
3570, 72.59932272968699, 11.44882576676719
3597, 73.97045532790978, 11.91143708766731
3617, 74.35503249351836, 12.37389826779154
3640, 74.51524312105398, 12.83459152804326
3659, 74.33935795454485, 13.29163029124533
3679, 73.91732460583765, 13.7434532491861
3704, 73.36076401159295, 14.18980568502777
4, -0.20489755, -0.2
29, -0.21077167147, -0.2
48, -0.216275906853686, -0.2
75, -0.1994144717251171, -0.1957051282051282
97, -0.2051081145211236, -0.1919551282051282
118, -0.2106398129738613, -0.1888162393162393
137, -0.2160627335952994, -0.186112987283719
157, -0.2214421893040874, -0.1837216829358929
183, -0.04993800509173097, -0.1641996241123635
201, 0.07589521400526494, -0.1348841479218873
225, 0.1793656741475856, -0.09914644300385451
245, 0.2176075148642334, -0.062631291488703
268, 0.322351093946593, -0.02064185486898469
289, 0.2294008194774856, 0.01241482529295863
308, -0.90843738081197, -0.02658429287282622
328, -1.822933742431941, -0.1160222773689503
351, -2.68947499955649, -0.2475298323140052
373, -2.6935190569656, -0.3723368176081228
395, -2.41747286250135, -0.4769132752538875
415, -2.702037384382983, -0.5898973864753374
443, -0.5391176719590081, -0.6017352243131753
467, 0.2472849881547265, -0.5789766036235201
495, 2.454185315484584, -0.4655506081314089
514, 4.371839602602432, -0.2802521264198838
537, 5.445708568473961, -0.0611045437226827
557, 6.366060156065614, 0.1844925151008467
585, 6.976299053658756, 0.4432895691106666
605, 7.588157904597244, 0.7152860176139645
626, 7.134760434759994, 0.9639094802440496
655, 6.833875633637182, 1.197745687140601
677, 6.802406856515719, 1.423472395215136
697, 6.122117447001314, 1.621719577492633
722, 6.225269027435621, 1.817337267551112
743, 5.993659226749044, 2.000450215209514
762, 5.985098754053397, 2.178198833994045
787, 6.222464220135621, 2.358613580537824
807, 6.459012426678433, 2.540211166343525
827, 6.873141430343289, 2.727690482394269
858, 7.447407982142094, 2.92647812313792
898, 8.413226846254437, 3.146241005886239
928, 9.987639921302351, 3.401034844748799
953, 11.8024348169714, 3.693805847458826
973, 14.07121295614669, 4.030655664308642
997, 16.42612549189267, 4.411783982892713
1017, 19.54155652154813, 4.85280375857158
1038, 23.0661489232365, 5.359096131452936
1063, 27.18278538684739, 5.940226836847127
1083, 32.01892669915984, 6.606714901195855
1107, 37.76923228554235, 7.375016694024541
1127, 44.34759057038486, 8.258069946575562
1153, 50.75132538542585, 9.246016306728819
1173, 56.67933092442147, 10.32505397442748
1193, 62.78783274873425, 11.49771080099574
1217, 67.79371262991027, 12.73972269599164
1244, 73.45967594338169, 14.06632609654522
1265, 81.70608062184654, 15.51376411307415
1287, 88.26705673565646, 17.04780406152775
1309, 91.99288253019791, 18.62104374858323
1330, 93.0600523794009, 20.18337190759343
1358, 91.59310072983921, 21.69607961779615
1390, 88.12859619003586, 23.13518733483795
1413, 83.58283773830918, 24.48955987063376
1437, 79.23794127146699, 25.75860946363949
1463, 76.28355781386668, 26.9626081490032
1480, 73.52111795931224, 28.10485583593674
6, -0.20529735, -0.2
24, -0.21085678639125, -0.2
51, -0.2166780457630213, -0.2
72, -0.2007524043726508, -0.1958333333333333
98, -0.1608666763525339, -0.1847043010752688
121, -0.0301931501977846, -0.1562043010752688
141, 0.09678703393300758, -0.1156555205874639
159, 0.1129084764206724, -0.07714620381727759
183, 0.2168739008853744, -0.03185208617021877
204, 0.1889948606087913, 0.007235215417082808
224, -1.158351687359615, -0.06669921081242538
245, -2.302376570836292, -0.2210587149446568
270, -3.183356326681408, -0.4263345365409009
292, -3.40600569737933, -0.6318608523303746
315, -3.388116498543986, -0.825952563088752
