time, low pass gyro, kalman gyro
2, 0.0, 1e-08
1206, 0.0, 9.980029950089831e-09
1226, 0.0, 9.970089740747829e-09
1247, 0.0, 9.960159362539901e-09
1270, 0.0, 9.950248756218917e-09
1291, 3.998, 0.003976153081510934
1311, 5.995001, 0.005954353383176612
1331, 9.9900034995, 0.00991473775451122
1353, -0.009991502249750003, -9.816380410184637e-06
1374, -36.99148650649863, -0.03663364373634532
1396, -52.96499076324538, -0.05238709826544278
1419, 10.02999173213625, 0.009933198723474941
1440, 44.00797673627018, 0.04342554472967221
1462, 26.99447274790205, 0.02658440282558383
1482, 52.9679755115281, 0.05219056710052843
1503, 46.94449152377233, 0.04620848370349576
1524, 18.93501927801045, 0.01863697298538744
1544, -0.06494823162856279, -1.829760624022176e-05
1566, -16.05691575751275, -0.01570164052264041
1589, -16.04888729963399, -0.01567087093104296
1610, -27.03536285598418, -0.02642930374071013
1635, -19.02584517455618, -0.0185651278732534
1653, -20.01583225196891, -0.0195321846161701
1674, -22.00482433584292, -0.0214652908257897
1696, -7.001321923675, -0.006808316779910816
1717, -11.99532126271316, -0.01168926089031578
1738, -25.98232360208181, -0.02530506400132726
1760, -13.97533244028077, -0.01359405148469025
1782, -4.972844774060624, -0.00484586582972564
1801, 0.02714164832640661, 4.714442279513227e-06
1821, 16.01912807750224, 0.01551891881209162
1843, 20.00911851346349, 0.01936481694853414
1864, 0.009113954206760539, -1.873650267048563e-05
1885, 9.004609397229657, 0.008704089696502141
1905, 4.002607092531043, 0.003856334222197755
1926, 0.00260578898477681, -3.712668494557922e-06
1946, 4.000604486090285, 0.003857293849875607
1971, 1.999604183847239, 0.001923075834097616
1991, 2.998104381755315, 0.002885550465639859
2012, 8.993605329564438, 0.008651081210729805
2035, 8.989108526899656, 0.008637232400004471
2057, 9.984113972636205, 0.009588649498278448
2080, 15.97612191564989, 0.0153311805945337
2101, 15.96813385469206, 0.01531099504692835
2122, 18.95864978776472, 0.01816717609046087
2144, 23.94667046287084, 0.02292719200141388
2166, 29.9316971276394, 0.02863140670253945
2189, 35.91373127907558, 0.03432383454470282
2211, 40.89327441343604, 0.03905213172068377
2233, 49.86832777622933, 0.04758186464553543
2256, 60.83789361234121, 0.05799469852034088
2279, 67.80397466553504, 0.06458366474429125
2300, 76.76557267820228, 0.07306308294849135
2321, 94.71818989186318, 0.09006351700811022
2342, 109.6633307969172, 0.104180044068701
2362, 124.6009991315188, 0.1182725662551231
2384, 144.528698631953, 0.1370688149888501
2404, 167.444934282637, 0.1586606249475159
2426, 198.3457118154957, 0.1877633138663874
2450, 228.231538959588, 0.2158606100901665
2474, 265.0989231901082, 0.2505034395846784
2494, 268.9643737285131, 0.2540014186156689
2519, 245.8413915416489, 0.2321223034720606
2540, 227.7274708458781, 0.2150074132574579
2562, 210.6221071104551, 0.1988591573672686
2584, 177.5332960568999, 0.1677309107429854
2606, 116.4750294088714, 0.110433251263953
2630, 157.396291894167, 0.1487730119457941
2652, 139.3265937482199, 0.1317598101004841
2673, 54.2994304513458, 0.05221331794322808
2694, 55.27178073612014, 0.05317254593034788
2714, -1.727355154247932, -4.959191846388033e-05
2739, -28.71299147667081, -0.025163038582249
2760, -60.68263498093247, -0.05491138449916022
2781, -65.64979366344201, -0.05948379405226962
2802, -72.61346876661029, -0.06592983847271878
2, 0.0, 1e-08
22, 0.0, 9.980029950089831e-09
45, 0.0, 9.970089740747829e-09
65, 0.0, 9.960159362539901e-09
86, 0.0, 9.950248756218917e-09
108, 0.0, 9.940357852882705e-09
129, 0.0, 9.930486593843099e-09
153, 0.0, 9.920634920634921e-09
174, 0.0, 9.910802775024777e-09
196, 0.0, 9.900990099009903e-09
217, 0.0, 9.891196834817013e-09
239, 0.0, 9.881422924901187e-09
258, 0.0, 9.87166831194472e-09
278, 0.0, 9.861932938856018e-09
299, 0.0, 9.852216748768475e-09
320, 1.999, 0.001968513779527559
341, -0.0009995000000000001, -1.925765916428589e-06
361, -0.0009990002500000001, 1.172455673685643e-08
383, 1.998001499250125, 0.001962718349458907
404, -0.001997501499500063, -1.914420133251195e-06
425, 1.99700349725125, 0.001958875537927576
447, 1.996004995502624, 0.001955040248783162
467, 1.995006993004873, 0.001953132912547364
487, 1.99400948950837, 0.001951227418811156
510, 1.993012484763616, 0.001949325641313965
530, 1.992015978521234, 0.001947427567363337
551, 2.990519970531974, 0.00291924302062242
572, 2.989024710546708, 0.002915457944276728
592, 2.987530198191434, 0.002912628330207337
613, 2.986036433092339, 0.002909803282900938
634, 1.985043414875793, 0.001937051606620598
657, -0.01494910683164543, -1.867288669863906e-06
677, -0.0149416322782296, 1.149755914070138e-08
697, -3.013434161462091, -0.002901344295761138
720, -5.01092744438136, -0.004828104972012616
740, -5.008421980659168, -0.004821584831434509
759, -5.005917769668839, -0.004816941567517893
781, -3.004414810784005, -0.002885523168390442
802, 1.994587396621387, 0.001927714661022427
822, 2.993090102923077, 0.002882771437465015
844, 3.991093557871615, 0.003839699556366877
863, 6.987598011092679, 0.006714174961660058
885, 6.984104212087133, 0.00670498162477015
907, 2.982612159981089, 0.002867150409926204
927, -3.015879146098901, -0.002873547503187925
947, -5.013371206525852, -0.004777357976030051
970, -0.01336452092258887, 4.572461830238296e-06
991, -0.01335783866212758, 5.188062278757651e-09
1012, -5.010851159742796, -0.004766434695563467
1033, -5.008345734162925, -0.004757355767401473
1053, -3.006841561295844, -0.00284988832988467
1075, -6.003838140515196, -0.005700703519159093
1097, -6.000836221444938, -0.005692582418779807
1118, 1.998164196665784, 0.001902943635593411
